player_name,score,snake_length,level,food_type,game_date
Tamanna,100,10,3,normal,2026-08-19 12:19:24
Tamanna,95,7,2,normal,2026-08-19 12:27:48
Tamanna,85,7,2,bonus,2026-08-19 11:10:47
Tamanna,70,6,2,normal,2026-08-19 12:35:19
Tamanna,60,6,2,normal,2026-08-19 11:23:04
Tamanna,50,5,2,normal,2026-08-19 12:27:03
Tamanna,50,5,2,normal,2026-08-19 12:34:34
Tamanna,45,6,1,normal,2026-08-19 10:15:33
Tamanna,35,5,1,golden,2026-08-19 10:15:12
Tamanna,35,5,1,normal,2026-08-19 10:15:57
Tamanna,30,6,1,bonus,2026-08-19 12:13:57
Tamanna,30,6,1,normal,2026-08-19 12:18:33
Tamanna,20,5,1,bonus,2026-08-19 12:14:19
Tamanna,20,5,1,normal,2026-08-19 12:34:50
Tamanna,10,4,1,bonus,2026-08-19 11:25:00
Tamanna,10,4,1,normal,2026-08-19 11:51:46
Shivani,10,4,1,bonus,2026-08-19 13:12:26
Shivani,10,4,1,golden,2026-08-19 13:12:49
Tamanna,0,3,1,normal,2026-08-19 10:14:35
Tamanna,0,3,1,golden,2026-08-19 10:14:46
Tamanna,0,3,1,normal,2026-08-19 10:14:48
Tamanna,0,3,1,normal,2026-08-19 10:15:41
Tamanna,0,3,1,normal,2026-08-19 11:10:07
Tamanna,0,3,1,normal,2026-08-19 11:25:11
Tamanna,0,3,1,bonus,2026-08-19 12:26:47
Tamanna,0,3,1,bonus,2026-08-19 12:27:14
Tamanna,0,3,1,normal,2026-08-19 12:27:19
Tamanna,0,3,1,golden,2026-08-19 12:27:26
Shivani,0,3,1,normal,2026-08-19 13:12:29
Shivani,0,3,1,normal,2026-08-19 13:12:38
Shivani,0,3,1,normal,2026-08-19 13:12:45
